"","Title","Company","City","State","Skills"
"268","Statistician/Intermediate - Levine Cancer Institute","Booz-Allen-Hamilton","Boston"," MA","Python. SQL. R. C++. Tableau."
"269","Data Scientist, Machine Learning","Owens-Corning","Granville"," OH","Python. SQL. R. SAS. Excel. C++. Tableau."
"270","Manager, Data & Analytics Delivery","Pearson","San Antonio"," TX","Python. R. Excel. C++."
"271","Semiconductor Patterning Data Scientist","Pivotal-Labs-Inc","Denver"," CO","Python. SQL. R. C++."
"272","Analyst - Business Analytics","Noblis","Washington"," DC","Python. SQL. R. SAS. Excel. C++."
"273","Data Scientist - eBusiness","Unc-Health-Care","Chapel Hill"," NC","R. C++. Tableau."
"274","Autonomy - Contributor DSP and Machine Learning Real Time Optimization","Indeed","Seattle"," WA","Python. SQL. C++. Java."
"275","Intern - Enterprise Data Science","Sharp-Laboratories-of-America","Santa Ana"," CA","NoSQL. R. C++. Java."
"276","Manager, Data & Analytics Delivery","Pacific-Gas-and-Electric-Company-(pg&E)","Honolulu"," HI","SAS. Excel. C++. statistics. Java."
"277","Research Scientist","Osu-Wexner-Medical-Center","Bentonville"," AR","Python. R. SAS. C++. Java."
"278","Statistician I","Nci-Information-Systems-Inc","Southfield"," MI","C++."
"279","Semiconductor Patterning Data Scientist","Asml","Boston"," MA","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"280","Data Scientist - eBusiness","Parker-Hannifin","San Antonio"," TX","SQL. C++."
"281","Autonomy - Contributor DSP and Machine Learning Real Time Optimization","Qualcomm","Denver"," CO","Python. SQL. R. C++."
"282","Intern - Enterprise Data Science","Micron-Technology-Inc","Mountain View"," CA","R. Excel. C++."
"283","Data Analyst/Scientist","Booz-Allen-Hamilton","Denver"," CO","C++."
"284","Junior Quantitative Researcher - Machine Learning","Akuna-Capital","Washington"," DC","Python. R. C++."
"285","Data and Research Analyst","Pacific-Gas-and-Electric-Company-(pg&E)","Honolulu"," HI","C++."
